Source,Source City,Source Country,Target,Target City,Target Country,Weight,TimeSeries,Lat ,Lon
SOV,Seldovia,USA,KEB,Nanwalek,USA,144,200307,59.45,-151.7
HOM,Homer,USA,SOV,Seldovia,USA,184,200307,59.64293439,-151.5482797
SOV,Seldovia,USA,HOM,Homer,USA,40,200307,59.45,-151.7
PGM,Port Graham,USA,HOM,Homer,USA,144,200307,59.35,-151.833333
KEB,Nanwalek,USA,PGM,Port Graham,USA,144,200307,59.366667,-151.916667
AET,Allakaket,USA,AKP,Anaktuvuk Pass,USA,36,200307,66.56548342,-152.6454995
ANC,Anchorage,USA,GAL,Galena,USA,513,200307,61.174444,-149.996389
ANI,Aniak,USA,SHX,Shageluk,USA,243,200307,61.5787077,-159.5221857
BTI,Barter Island,USA,FAI,Fairbanks,USA,513,200307,70.133333,-143.633333
BTI,Barter Island,USA,SCC,Prudhoe Bay/Deadhorse,USA,513,200307,70.133333,-143.633333
FAI,Fairbanks,USA,BTI,Barter Island,USA,513,200307,64.816667,-147.866667
ANI,Aniak,USA,RSH,Russian Mission,USA,243,200307,61.5787077,-159.5221857
ANC,Anchorage,USA,ANI,Aniak,USA,1102,200307,61.174444,-149.996389
ANI,Aniak,USA,ANC,Anchorage,USA,589,200307,61.5787077,-159.5221857
ANI,Aniak,USA,HCR,Holy Cross,USA,522,200307,61.5787077,-159.5221857
ANI,Aniak,USA,BET,Bethel,USA,513,200307,61.5787077,-159.5221857
GAL,Galena,USA,ANC,Anchorage,USA,513,200307,64.73329551,-156.9269953
SHX,Shageluk,USA,ANI,Aniak,USA,522,200307,62.633333,-159.583333
AET,Allakaket,USA,FAI,Fairbanks,USA,90,200307,66.56548342,-152.6454995
AIN,Wainwright,USA,BRW,Barrow,USA,243,200307,70.63688865,-160.0383041
ANI,Aniak,USA,KLG,Kalskag,USA,243,200307,61.5787077,-159.5221857
FAI,Fairbanks,USA,FYU,Fort Yukon,USA,950,200307,64.816667,-147.866667
FYU,Fort Yukon,USA,FAI,Fairbanks,USA,950,200307,66.56468243,-145.2737789
ANC,Anchorage,USA,DLG,Dillingham,USA,589,200307,61.174444,-149.996389
DLG,Dillingham,USA,ANC,Anchorage,USA,589,200307,59.05656031,-158.4803121
GAL,Galena,USA,KYU,Koyukuk,USA,243,200307,64.73329551,-156.9269953
KYU,Koyukuk,USA,GAL,Galena,USA,243,200307,64.88028912,-157.7008499
NUI,Nuiqsut,USA,SCC,Prudhoe Bay/Deadhorse,USA,513,200307,70.216667,-150.916667
RBY,Ruby,USA,TAL,Tanana,USA,243,200307,64.733333,-155.483333
SCC,Prudhoe Bay/Deadhorse,USA,NUI,Nuiqsut,USA,513,200307,70.333333,-148.333333
TAL,Tanana,USA,RBY,Ruby,USA,243,200307,65.17187339,-152.0787899
BRW,Barrow,USA,NUI,Nuiqsut,USA,513,200307,71.29056968,-156.78858
NUI,Nuiqsut,USA,BRW,Barrow,USA,513,200307,70.216667,-150.916667
RSH,Russian Mission,USA,KLG,Kalskag,USA,243,200307,61.783333,-161.333333
FAI,Fairbanks,USA,TAL,Tanana,USA,243,200307,64.816667,-147.866667
SCC,Prudhoe Bay/Deadhorse,USA,BTI,Barter Island,USA,513,200307,70.333333,-148.333333
TAL,Tanana,USA,FAI,Fairbanks,USA,243,200307,65.17187339,-152.0787899
AIN,Wainwright,USA,PIZ,Point Lay,USA,243,200307,70.63688865,-160.0383041
AKP,Anaktuvuk Pass,USA,FAI,Fairbanks,USA,153,200307,68.133333,-151.733333
FAI,Fairbanks,USA,AKP,Anaktuvuk Pass,USA,117,200307,64.816667,-147.866667
GAL,Galena,USA,HSL,Huslia,USA,513,200307,64.73329551,-156.9269953
GAL,Galena,USA,NUL,Nulato,USA,589,200307,64.73329551,-156.9269953
HSL,Huslia,USA,GAL,Galena,USA,513,200307,65.7,-156.416667
KAL,Kaltag,USA,NUL,Nulato,USA,513,200307,64.32719627,-158.7218986
AIN,Wainwright,USA,ATK,Atqasuk,USA,243,200307,70.63688865,-160.0383041
